Publication Type,AU,BA,Book Editors,GP,Author Full Names,Book Author Full Names,CA,Article Title,Source Title,SE,BS,LA,DT,CT,CY,CL,Conference Sponsor,HO,DE,Keywords Plus,AB,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,FX,CR,NR,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,PU,PI,PA,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,PD,Publication Year,VL,IS,PN,SU,SI,MA,Start Page,End Page,AR,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,SC,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID)
J,"Alonso-Diaz, L; Yuste-Tosina, R; Mendo-Lazaro, S",,,,"Alonso-Diaz, Laura; Yuste-Tosina, Rocio; Mendo-Lazaro, Santiago",,,Adults video gaming: Key competences for a globalised society,COMPUTERS & EDUCATION,,,,Article,,,,,,Adult learning; Lifelong learning; Key competences; Video games; Media in education,GAMES; PLAY; SIMULATION; ONLINE; TIME,"Is it possible that by playing video games adults can develop key competences that may prove beneficial in dealing with the new challenges of 21st-century society? The present study identifies the profile of adult video gamers and defines the characteristics of the games they choose to play. It also examines the way and with what type of video games adults perceive that key competences are developed. From a quantitative perspective, the questionnaire on video games and adult education (QVAD) (Alonso and Yuste, 2015) was applied to a sample of 404 subjects. The results confirmed that adult video gamer, while playing, also learns and develops key competences. Role-playing games are those most closely linked to the development of hard (technical, practical and mechanical) and soft skills (personality traits) for globalised society. In order to favour video games of interest to adults, they should be allowed to choose different levels of difficulty and promote individual decision-making, commitment and responsibility. Information and motivation regarding video games should be reoriented, especially in the case of women with secondary and higher education and older people, who choose cognitive and strategy video games out of concern for their cognitive development, when role-playing would really respond better to their needs.",,,,,,,,,,,41,5,5,,,,,,,,,,,NOV,2019,141.0,,,,,,,,103616,10.1016/j.compedu.2019.103616,,,,"Computer Science, Interdisciplinary Applications; Education & Educational Research",,,,,,,,2022-06-07,WOS:000484653000011
J,"Tiana, A; Moya, J; Luengo, F",,,,"Tiana, Alejandro; Moya, Jose; Luengo, Florencio",,,Implementing Key Competences in Basic Education: reflections on curriculum design and development in Spain,EUROPEAN JOURNAL OF EDUCATION,,,,Article,,,,,,,KNOWLEDGE,,,,,,,,,,,,29,29,29,,,,,,,,,,,SEP,2011,46.0,3,,,,,307,322,,10.1111/j.1465-3435.2011.01482.x,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000294533400003
J,"Lopez, LMG; Gutierrez, D; Fernandez, BG; Gomez, JLL; Romo-Perez, V; Nemina, RE; Jimenez, AM",,,,"Garcia Lopez, Luis Miguel; Gutierrez, David; Garcia Fernandez, Beatriz; Lupiediez Gomez, Jose Luis; Romo-Perez, Vicente; Eirin Nemina, Raid; Mateos Jimenez, Antonio",,,2007-2017: A DECADE OF KEY COMPETENCES IN SPAIN,PROFESORADO-REVISTA DE CURRICULUM Y FORMACION DE PROFESORADO,,,,Article,,,,,,competence; curricular reform; curriculum evaluation; professional development; teachers,CURRICULUM REFORM; PRIMARY-EDUCATION; SCIENCE TEACHERS; POLICY; BELIEFS,"The aim of this study was to determine Spanish teachers' perceptions about the competence-based curriculum model (CBCM) introduced by LOE (2006) and maintained by later legislation, ten years after its deployment. Participants were 1408 Spanish Primary and Secondary School teachers (719 women and 689 men). Participants answered an ad hoc questionnaire consisting of a 23-item, five factor scale (beliefs about the theoretical model, level of implementation of the model, difficulties in implementing the model, resources, and professional development). The questionnaire was sent through an on-line application to all Spanish Primary and Secondary Schools. The results show that teachers perceive the importance of curricular change although their expectations are negative regarding its implementation in classrooms. They are committed to the application of the CBCM but there is still a great demand for training and contextual conditions need to be improved. Regarding the factors analyzed, women have a better consideration of the degree of application of teaching strategies or the uniformity in the implementation of CBCM, while men score significantly higher in available resources. Primary school teachers have a more favorable perception in most of the items than secondary school teachers. It is necessary to address all these difficulties observed by teachers if educational reforms are intended to have a real impact on the results of the educational process.",,,,,,,,,,,45,1,1,,,,,,,,,,,NOV,2020,24.0,3,,,,,381,399,,10.30827/profesorado.v24i3.8236,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000620590700018
J,"Alm, K; Beery, TH; Eiblmeier, D; Fahmy, T",,,,"Alm, Karin; Beery, Thomas H.; Eiblmeier, David; Fahmy, Tarek",,,"Students' learning sustainability - implicit, explicit or non-existent: a case study approach on students' key competencies addressing the SDGs in HEI program",INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,,,,Article,,,,,,University social responsibility (USR); Sustainable Development Goals (SDGs); Higher education institutions (HEIs); Work-integrated Learning (WIL),UNIVERSITY SOCIAL-RESPONSIBILITY; HIGHER-EDUCATION; MODEL,"Purpose This study aims to understand better the student awareness and knowledge on how the Sustainable Development Goals (SDGs) are used in higher education institutions (HEIs) to motivate students' learning on sustainability. It is essential to consider students' understanding of sustainability at the end of their studies to assess whether they feel prepared to apply sustainability in their daily work life. Design/methodology/approach The study has a quantitative case study design, and the specific method used is an online survey with masters' students using the university student platform EvaSys. The study assesses approaching how students perceive the overall education integrating sustainability into programs and curricula. Findings The results showed that work-integrated learning (WIL) projects learning and real-life experiences as part of their studies enhanced the students' understanding of sustainability. Moreover, the study showed that integrating an understanding of the SDGs in teaching offers universities a way to frame students' key competencies in ways that allow them to develop their interpersonal competencies as ambassadors for sustainability in their future work life. Practical implications This study supports the argument that WIL and real-life university experiences enhance students' key competencies critical for sustainability. Originality/value The pedagogical approach advanced in this paper addresses how WIL and real-life experiences might develop students' key competencies on sustainability. This approach indicates that working with SDGs in teaching encourages students to promote their interpersonal competencies for sustainability.",,,,,,,,,,,35,1,1,,,,,,,,,,,DEC 19,2022,23.0,8,,,,,60,84,,10.1108/IJSHE-12-2020-0484,,JAN 2022,,Green & Sustainable Science & Technology; Education & Educational Research,,,,,,,,2022-06-07,WOS:000748807700001
J,"Di Rienzo, P",,,,"Di Rienzo, Paolo",,,Making Informal Adult Learning Visible. The Recognition of the Third Sector Professionals' Key Competences,EDUCATION SCIENCES,,,,Article,,,,,,informal learning; key competences; tacit knowledge; third sector; volunteering; learning recognition; pedagogical tutoring,,"The third sector represents a vast and heterogeneous universe that has a key role in society from both the social and civil points of view. It also represents an informal learning context where competence and knowledge are acquired, often in a tacit and indirect way. This research focuses on the key competences of the third sector professionals and on the pedagogical methods to make them visible and to encourage their recognition. The quantitative and qualitative data sources include: questionnaires, focus groups, and diaries. The results show that the informal learning of key competences by professionals is a primary result of their activities that should be given greater visibility. Six areas of expertise have been identified in order to classify the range of knowledge and competence. The pedagogical approach has highlighted the importance of the tutor who applies narrative tutoring methods to facilitate the recognition of competences and their enhancement for personal and professional development. The full enhancement of competences, considered as the strengthening of people's reflection and planning potential, requires policies that can be effectively applied to the national competences certification system.",,,,,,,,,,,41,0,0,,,,,,,,,,,SEP,2020,10.0,9,,,,,,,228,10.3390/educsci10090228,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000578913800001
J,"Chasnikova, O; Nazarenko, T; Nesterovych, B; Tarasenko, H; Dubrovina, I",,,,"Chasnikova, Olena; Nazarenko, Tetiana; Nesterovych, Bohdan; Tarasenko, Halyna; Dubrovina, Iryna",,,Implementation the Principle European Education in the New Ukrainian School,CZECH-POLISH HISTORICAL AND PEDAGOGICAL JOURNAL,,,,Article,,,,,,European education; New Ukrainian School; key competences; teacher training; cross-cutting content lines,,"The article deals with the problem of implementation of the principles of European education in the New Ukrainian School. In particular, the need to form a set of key competencies at different levels of education was argued. The authors emphasize the importance of educational innovation, readiness of teachers for renewed professional activities; implement integrated educational courses in the field of school education and cross-cutting content lines.",,,,,,,,,,,13,0,0,,,,,,,,,,,,2020,12.0,2,,,,,122,131,,10.5817/cphpj-2020-026,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000706781400009
J,"Bokonjic, D; Racic, M; Masic, S; Oruc, M; Rybarova, L; Vidovic, K; Drieghe, B; van Wieren, J; Curcija, E; Seiti, L",,,,"Bokonjic, Dejan; Racic, Maja; Masic, Srdjan; Oruc, Mirza; Rybarova, Lubica; Vidovic, Kristina; Drieghe, Belinda; van Wieren, Johan; Curcija, Erard; Seiti, Luis",,,Competence-Based Curriculum Development in Nursing Education: A Story From the Western Balkans,NURSING EDUCATION PERSPECTIVES,,,,Article,,,,,,Competence-Based Curriculum; Curriculum Reform; TEMPUS Program; Western Balkan Nursing Education,,This article describes the process of competence-based curriculum development in nursing education at Western Balkan (WB) universities. Nursing education in the WB has been noncompliant with the standard educational approaches of the European Union's directive on regulated professions. The overall aim of the TEMPUS project Competency-Based Curriculum Reform in Nursing and Caring in Western Balkan Universities was to bring curricular reform for bachelor's nursing education in the WB region in line with competence-based education and professional standards to demonstrate compliance with all member countries of the European Union.,,,,,,,,,,,6,2,2,,,,,,,,,,,NOV-DEC,2019,40.0,6,,,,,E28,E30,,10.1097/01.NEP.0000000000000521,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000518811300007
J,"Sa, P; Andrade, AI; Machado, J; Sa, C",,,,"Sa, Patricia; Andrade, Ana Isabel; Machado, Jane; Sa, Cristina",,,COMPETENCES FOR EDUCATION FOR SUSTAINABILITY: ANALYSIS OF EDUCATIONAL POLICY DOCUMENTS IN PORTUGAL,REVISTA PRAXIS EDUCACIONAL,,,,Article,,,,,,Key competences; Sustainability; Portuguese Policy Documents,,"The present study is part of the TEDS - Teacher Education for Sustainability project. This is an Erasmus+ project and involves five European countries: Portugal, France, Lithuania, Finland and Malta. The main aim of the TEDS project is to provide European teacher educators and teachers with the knowledge and tools necessary to implement an education that promotes sustainability in their practices. Within this project, one of the objectives was to understand how key competences in education for sustainability are present in the educational documents of each of the participating countries. This article refers to the analysis carried out on Portuguese educational documents. It is a qualitative study framed on the interpretive paradigm. It is an exploratory, descriptive-interpretive study aimed at identifying and describing the main characteristics related to the key competences in education for sustainability present in the official Portuguese documents that guide teaching and learning. After the analysis, validation and discussion of the results of the content analysis carried out on the corpus, these seem to indicate that the educational documents analyzed are compatible with the key competences considered in the guiding reference framework. All documents present different aspects of the various competences, highlighting their importance in the foundation of an educational practice that promotes sustainability.",,,,,,,,,,,20,0,0,,,,,,,,,,,OCT-DEC,2021,17.0,48,,,,,,,,10.22481/praxisedu.v17i48.8848,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000692640800009
J,"Vazquez-Marin, P; Cuadrado, F; Lopez-Cobo, I",,,,"Vazquez-Marin, Pedro; Cuadrado, Francisco; Lopez-Cobo, Isabel",,,Linking Character Strengths and Key Competencies in Education and the Arts: A Systematic Review,EDUCATION SCIENCES,,,,Review,,,,,,positive psychology; positive education; arts; competence; skills; education; arts education; character strengths; values in action; systematic review,IMPACT; MUSIC; INTERVENTION; INSTRUCTION; CHILDREN; STUDENTS; TOOL,"Positive education, as a method for the positive development of students' personality, embodies the 24 character strengths that Peterson and Seligman developed in their studies and that are necessary for new professional profiles. This new social and work landscape inspired supranational institutions, such as the European Union, to develop theories for new educational systems. These Key Competencies seek the comprehensive training of students, on not only the cognitive but the socioemotional plane, as occurs with arts education. With this literature review, we intend to demonstrate the relationship between the Key Competencies as catalysts for the development of character strengths in students through art education programmes. The results conclude that it is possible to define a relationship between the Key Competencies and character strengths and to outline the nature of these relationships, noting that certain patterns of combinations of strengths are repeated in the Key Competencies. Additionally, our work leads us to propose the need to increase the volume of research in this field and to design future studies that allow an empirical evaluation of the nature of these connections and whether they are efficient and enduring.",,,,,,,,,,,66,0,0,,,,,,,,,,,MAR,2022,12.0,3,,,,,,,178,10.3390/educsci12030178,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000775457600001
J,"Dabrowski, M; Wisniewski, J",,,,"Dabrowski, Miroslaw; Wisniewski, Jerzy",,,Translating Key Competences into the School Curriculum: lessons from the Polish experience,EUROPEAN JOURNAL OF EDUCATION,,,,Article,,,,,,,,,,,,,,,,,,,7,17,17,,,,,,,,,,,SEP,2011,46.0,3,,,,,323,334,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000294533400004
J,"Perez-Valverde, C; Ruiz-Cecilia, R",,,,"Perez-Valverde, Cristina; Ruiz-Cecilia, Raul",,,"Paving the Way Towards the ECTS System: Self-Assessment, Metacognition, and Professional Competence in a Literature Course for FL Teachers",PORTA LINGUARUM,,,,Article,,,,,,Autonomous learning; self-assessment; competence-based model; literature teaching; metacognition,,"This paper presents a series of actions carried out in order to adapt one of the courses in the training curriculum of Foreign Language Teachers in the University of Granada (Spain) to the European Credit Transfer System (ECTS). The course focuses on literature teaching. The final aim of the aforementioned actions was that of promoting autonomous learning and reflective skills amongst trainees, in order to help them become responsible for their own professional development. The approach followed relies on the adoption of a competence-based curriculum and the introduction of self-assessment and metacognitive techniques. The evaluation of the experience reveals a significant improvement in the capacity of trainees to manage their own learning, in their linguistic competence, and in their handling of didactic resources and material. This research is part of a project financed by the Spanish Ministry of Science and Innovation (SEJ 2007-62329).",,,,,,,,,,,16,3,3,,,,,,,,,,,JAN,2012,,17,,,,,67,77,,,,,,Education & Educational Research; Linguistics; Language & Linguistics,,,,,,,,2022-06-07,WOS:000299448000006
