id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
57	bükki e. (2021)	"<table><tr><td>Authors:</td><td>bükki e.; fehérvári a.</td></tr><tr><td>Title:</td><td>how do teachers collaborate in hungarian vet schools? a quantitative study of forms, perceptions of impact and related individual and organisational factors</td></tr><tr><td>Source:</td><td>empirical research in vocational education and training, 13(1)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1186/s40461-020-00108-6	-1.2635	-0.0762	2	1	1	0.4576	2021	1	0.4576
61	redman a. (2021a)	"<table><tr><td>Authors:</td><td>redman a.; wiek a.</td></tr><tr><td>Title:</td><td>competencies for advancing transformations towards sustainability</td></tr><tr><td>Source:</td><td>frontiers in education, 6</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3389/feduc.2021.785163	0.9624	-0.1964	1	14	4	1.8303	2021	4	1.8303
63	imara k. (2021)	"<table><tr><td>Authors:</td><td>imara k.; altinay f.</td></tr><tr><td>Title:</td><td>integrating education for sustainable development competencies in teacher education</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(22)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su132212555	1.0229	-0.0013	1	6	3	1.3727	2021	3	1.3727
64	brauer s. (2021)	"<table><tr><td>Authors:</td><td>brauer s.</td></tr><tr><td>Title:</td><td>towards competence-oriented higher education: a systematic literature review of the different perspectives on successful exit profiles</td></tr><tr><td>Source:</td><td>education and training, 63(9), 1376-1390</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1108/et-07-2020-0216	-0.684	-0.0548	4	4	1	0.4576	2021	1	0.4576
68	redman a. (2021b)	"<table><tr><td>Authors:</td><td>redman a.; rowe d.; brundiers k.; brock a.</td></tr><tr><td>Title:</td><td>what motivates students to be sustainability change agents in the face of adversity?</td></tr><tr><td>Source:</td><td>sustainability and climate change, 14(5), 313-322</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1089/scc.2021.0024	0.955	-0.2389	1	4	1	0.4576	2021	1	0.4576
69	curtis h.l. (2021)	"<table><tr><td>Authors:</td><td>curtis h.l.; gabriel l.c.; sahakian m.; cattacin s.</td></tr><tr><td>Title:</td><td>practice-based program evaluation in higher education for sustainability: a student participatory approach</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(19)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su131910816	0.6594	-0.0808	1	7	1	0.4576	2021	1	0.4576
74	konrad t. (2021)	"<table><tr><td>Authors:</td><td>konrad t.; wiek a.; barth m.</td></tr><tr><td>Title:</td><td>learning to collaborate from diverse interactions in project-based sustainability courses</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(17)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13179884	0.8969	-0.2029	1	4	0	0	2021	0	0
79	pálsdóttir a. (2021)	"<table><tr><td>Authors:</td><td>pálsdóttir a.; jóhannsdóttir l.</td></tr><tr><td>Title:</td><td>key competencies for sustainability in university of iceland curriculum</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(16)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13168945	0.9114	0.0072	1	3	3	1.3727	2021	3	1.3727
89	teresa fuertes‐camacho m. (2021)	"<table><tr><td>Authors:</td><td>teresa fuertes‐camacho m.; dulsat‐ortiz c.; álvarez‐cánovas i.</td></tr><tr><td>Title:</td><td>reflective practice in times of covid‐19: a tool to improve education for sustainable development in pre‐service teacher training</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(11)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13116261	0.8685	0.0204	1	2	4	1.8303	2021	4	1.8303
90	kwon i.-s. (2021)	"<table><tr><td>Authors:</td><td>kwon i.-s.</td></tr><tr><td>Title:</td><td>analysis of key competencies and curriculum expertise of korean dance programs to assist in their long-term sustainability</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(11)</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13115801	1.0691	-0.1874	1	1	1	0.4576	2021	1	0.4576
100	guitert m. (2021)	"<table><tr><td>Authors:</td><td>guitert m.; romeu t.; baztán p.</td></tr><tr><td>Title:</td><td>the digital competence framework for primary and secondary schools in europe</td></tr><tr><td>Source:</td><td>european journal of education, 56(1), 133-149</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1111/ejed.12430	-0.3921	0.3239	3	2	3	1.3727	2021	3	1.3727
110	merma-molina g. (2021)	"<table><tr><td>Authors:</td><td>merma-molina g.; gavilán-martín d.; álvarez-herrero j.-f.</td></tr><tr><td>Title:</td><td>education for sustainable development: the impact of the values in mobile phone addiction</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(3), 1-17</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13031479	0.7999	0.0134	1	2	2	0.9151	2021	2	0.9151
113	birdman j. (2021)	"<table><tr><td>Authors:</td><td>birdman j.; redman a.; lang d.j.</td></tr><tr><td>Title:</td><td>pushing the boundaries: experience-based learning in early phases of graduate sustainability curricula</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 22(1), 237-253</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1108/ijshe-08-2019-0242	0.8658	-0.214	1	4	3	1.3727	2021	3	1.3727
116	sumter d. (2021)	"<table><tr><td>Authors:</td><td>sumter d.; de koning j.; bakker c.; balkenende r.</td></tr><tr><td>Title:</td><td>key competencies for design in a circular economy: exploring gaps in design knowledge and skills for a circular economy</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(2), 1-15</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13020776	0.8086	0.0017	1	2	11	5.0332	2021	11	5.0332
117	mróz a. (2021)	"<table><tr><td>Authors:</td><td>mróz a.; ocetkiewicz i.</td></tr><tr><td>Title:</td><td>creativity for sustainability: how do polish teachers develop students’ creativity competence? analysis of research results</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 13(2), 1-22</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3390/su13020571	1.0032	-0.052	1	1	4	1.8303	2021	4	1.8303
128	misbah z. (2021)	"<table><tr><td>Authors:</td><td>misbah z.; gulikers j.; widhiarso w.; mulder m.</td></tr><tr><td>Title:</td><td>exploring connections between teacher interpersonal behaviour, student motivation and competency level in competence-based learning environments</td></tr><tr><td>Source:</td><td>learning environments research</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s10984-021-09395-6	-1.0429	-0.2267	2	2	1	0.4576	2021	1	0.4576
130	lozano r. (2021)	"<table><tr><td>Authors:</td><td>lozano r.; barreiro-gen m.; pietikäinen j.; gago-cortes c.; favi c.; jimenez munguia m.t.; monus f.; simão j.; benayas j.; desha c.; bostanci s.; djekic i.; moneva j.m.; sáenz o.; awuzie b.; gladysz b.</td></tr><tr><td>Title:</td><td>adopting sustainability competence-based education in academic disciplines: insights from 13 higher education institutions</td></tr><tr><td>Source:</td><td>sustainable development</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1002/sd.2253	0.9775	-0.0202	1	5	2	0.9151	2021	2	0.9151
132	kononiuk a. (2021)	"<table><tr><td>Authors:</td><td>kononiuk a.; sacio-szymańska a.; ollenburg s.; trivelli l.</td></tr><tr><td>Title:</td><td>teaching foresight and futures literacy and its integration into university curriculum</td></tr><tr><td>Source:</td><td>foresight and sti governance, 15(3), 105-121</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.17323/2500-2597.2021.3.105.121	0.8354	0.108	1	1	0	0	2021	0	0
133	tahirsylaj a. (2021a)	"<table><tr><td>Authors:</td><td>tahirsylaj a.; fazliu f.</td></tr><tr><td>Title:</td><td>from content- to competence-based curricula–an educational account of curriculum policy in kosovo</td></tr><tr><td>Source:</td><td>european education, 53(1), 1-14</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/10564934.2021.1971541	-0.2229	0.432	3	3	1	0.4576	2021	1	0.4576
135	chen p. (2021)	"<table><tr><td>Authors:</td><td>chen p.; goncharova a.; pilz m.; frommberger d.; li j.; romanova o.; lin y.</td></tr><tr><td>Title:</td><td>international curriculum comparison in vocational education and training: a collaborative development of an analysis instrument</td></tr><tr><td>Source:</td><td>international journal for research in vocational education and training, 8(4), 16-43</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.13152/ijrvet.8.4.2	-0.9709	-0.1648	2	3	1	0.4576	2021	1	0.4576
138	alm k. (2021)	"<table><tr><td>Authors:</td><td>alm k.; melén m.; aggestam-pontoppidan c.</td></tr><tr><td>Title:</td><td>advancing sdg competencies in higher education: exploring an interdisciplinary pedagogical approach</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 22(6), 1450-1466</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1108/ijshe-10-2020-0417	0.8278	-0.202	1	2	2	0.9151	2021	2	0.9151
143	wilson-daily a.e. (2021)	"<table><tr><td>Authors:</td><td>wilson-daily a.e.; feliu-torruella m.; romero serra m.</td></tr><tr><td>Title:</td><td>key competencies: developing an instrument for assessing trainee teachers’ understanding and views</td></tr><tr><td>Source:</td><td>teacher development, 25(4), 478-493</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/13664530.2021.1930127	-0.7877	0.2034	6	2	1	0.4576	2021	1	0.4576
149	ortiz-revilla j. (2021)	"<table><tr><td>Authors:</td><td>ortiz-revilla j.; greca i.m.; meneses-villagrá j.-á.</td></tr><tr><td>Title:</td><td>effects of an integrated steam approach on the development of competence in primary education students (efectos de una propuesta steam integrada en el desarrollo competencial del alumnado de educación primaria)</td></tr><tr><td>Source:</td><td>infancia y aprendizaje, 44(4), 838-870</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/02103702.2021.1925473	-0.6596	0.3668	6	1	1	0.4576	2021	1	0.4576
161	diego-mantecón j.-m. (2021)	"<table><tr><td>Authors:</td><td>diego-mantecón j.-m.; blanco t.-f.; ortiz-laso z.; lavicza z.</td></tr><tr><td>Title:</td><td>steam projects with kiks format for developing key competences [proyectos steam con formato kiks para el desarrollo de competencias clave]</td></tr><tr><td>Source:</td><td>comunicar, 29(66), 34-43</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.3916/c66-2021-03	-1.2222	-0.2393	2	1	7	3.203	2021	7	3.203
162	clément p. (2021)	"<table><tr><td>Authors:</td><td>clément p.</td></tr><tr><td>Title:</td><td>the introduction of competence-based education into the compulsory school curriculum in france (2002–2017): hybridity and polysemy as conditions for change</td></tr><tr><td>Source:</td><td>comparative education, 57(1), 35-50</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/03050068.2020.1845062	0.0195	0.358	5	1	2	0.9151	2021	2	0.9151
163	tahirsylaj a. (2021b)	"<table><tr><td>Authors:</td><td>tahirsylaj a.</td></tr><tr><td>Title:</td><td>what kind of citizens? constructing ‘young europeans’ through loud borrowing in curriculum policy-making in kosovo</td></tr><tr><td>Source:</td><td>comparative education, 57(1), 115-129</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1080/03050068.2020.1845066	-0.2709	0.4291	3	3	3	1.3727	2021	3	1.3727
170	brundiers k. (2021)	"<table><tr><td>Authors:</td><td>brundiers k.; barth m.; cebrián g.; cohen m.; diaz l.; doucette-remington s.; dripps w.; habron g.; harré n.; jarchow m.; losch k.; michel j.; mochizuki y.; rieckmann m.; parnell r.; walker p.; zint m.</td></tr><tr><td>Title:</td><td>key competencies in sustainability in higher education—toward an agreed-upon reference framework</td></tr><tr><td>Source:</td><td>sustainability science, 16(1), 13-29</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s11625-020-00838-2	1.0018	-0.1542	1	12	63	28.8266	2021	63	28.8266
177	gonzález‐salamanca j.c. (2020)	"<table><tr><td>Authors:</td><td>gonzález‐salamanca j.c.; agudelo o.l.; salinas j.</td></tr><tr><td>Title:</td><td>key competences, education for sustainable development and strategies for the development of 21st century skills. a systematic literature review</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 12(24), 1-17</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/su122410366	0.8211	-0.0491	1	1	8	2.0172	2020	8	2.0172
188	lópez l.m.g. (2020)	"<table><tr><td>Authors:</td><td>lópez l.m.g.; gutiérrez d.; fernández b.g.; gómez j.l.l.; romo-perez v.; nemiña r.e.; jiménez a.m.</td></tr><tr><td>Title:</td><td>2007-2017: a decade of key competences in spain [2007-2017: una década de competencias clave en españa]</td></tr><tr><td>Source:</td><td>profesorado, 24(3), 381-399</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.30827/profesorado.v24i3.8236	-0.4386	0.3974	3	7	2	0.5043	2020	2	0.5043
202	tahirsylaj a. (2020)	"<table><tr><td>Authors:</td><td>tahirsylaj a.; sundberg d.</td></tr><tr><td>Title:</td><td>the unfinished business of defining competences for 21st century curricula—a systematic research review</td></tr><tr><td>Source:</td><td>curriculum perspectives, 40(2), 131-145</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s41297-020-00112-6	-0.359	0.2991	3	7	8	2.0172	2020	8	2.0172
205	fernández-martín f.-d. (2020)	"<table><tr><td>Authors:</td><td>fernández-martín f.-d.; arco-tirado j.-l.; carrillo-rosúa f.-j.; hervás-torres m.; ruiz-hidalgo j.-f.; romero-lópez c.</td></tr><tr><td>Title:</td><td>making stem education objectives sustainable through a tutoring program</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 12(16)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/su12166653	-0.2676	0.3683	3	1	3	0.7565	2020	3	0.7565
208	ravenscroft a. (2020)	"<table><tr><td>Authors:</td><td>ravenscroft a.; dellow j.; brites m.j.; jorge a.; catalão d.</td></tr><tr><td>Title:</td><td>radioactive101-learning through radio, learning for life: an international approach to the inclusion and non-formal learning of socially excluded young people</td></tr><tr><td>Source:</td><td>international journal of inclusive education, 24(9), 997-1018</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/13603116.2018.1503739	-0.2853	0.3829	3	1	3	0.7565	2020	3	0.7565
212	mishra d. (2020)	"<table><tr><td>Authors:</td><td>mishra d.; mishra a.</td></tr><tr><td>Title:</td><td>sustainability inclusion in informatics curriculum development</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 12(14), 1-16</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/su12145769	1.0439	-0.0653	1	3	2	0.5043	2020	2	0.5043
213	ayers j. (2020)	"<table><tr><td>Authors:</td><td>ayers j.</td></tr><tr><td>Title:</td><td>competence literate but context lacking? investigating the potential of study abroad programs to promote sustainability competence acquisition in students</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 12(13)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/su12135389	0.8885	-0.1889	1	2	10	2.5216	2020	10	2.5216
218	seo e. (2020)	"<table><tr><td>Authors:</td><td>seo e.; ryu j.; hwang s.</td></tr><tr><td>Title:</td><td>building key competencies into an environmental education curriculum using a modified delphi approach in south korea</td></tr><tr><td>Source:</td><td>environmental education research, 26(6), 890-914</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/13504622.2020.1733493	0.8237	0.0011	1	2	5	1.2608	2020	5	1.2608
219	kepanen p. (2020)	"<table><tr><td>Authors:</td><td>kepanen p.; määttä k.; uusiautti s.</td></tr><tr><td>Title:</td><td>how do students describe their study processes in the competence-based vocational special education teacher training?</td></tr><tr><td>Source:</td><td>human arenas, 3(2), 247-263</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s42087-019-00080-y	-1.0737	-0.0598	2	4	0	0	2020	0	0
227	salovaara j.j. (2020)	"<table><tr><td>Authors:</td><td>salovaara j.j.; soini k.; pietikäinen j.</td></tr><tr><td>Title:</td><td>sustainability science in education: analysis of master’s programmes’ curricula</td></tr><tr><td>Source:</td><td>sustainability science, 15(3), 901-915</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1007/s11625-019-00745-1	0.9482	-0.1557	1	3	7	1.7651	2020	7	1.7651
231	napal m. (2020)	"<table><tr><td>Authors:</td><td>napal m.; mendióroz-lacambra a.m.; peñalva a.</td></tr><tr><td>Title:</td><td>sustainability teaching tools in the digital age</td></tr><tr><td>Source:</td><td>sustainability (switzerland), 12(8)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3390/su12083366	0.6788	-0.1308	1	4	13	3.278	2020	13	3.278
235	placklé i. (2020)	"<table><tr><td>Authors:</td><td>placklé i.; könings k.d.; struyven k.; libotton a.; van merriënboer j.j.g.; engels n.</td></tr><tr><td>Title:</td><td>powerful learning environments in secondary vocational education: towards a shared understanding</td></tr><tr><td>Source:</td><td>european journal of teacher education, 43(2), 224-242</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/02619768.2019.1681965	-1.2455	-0.165	2	1	4	1.0086	2020	4	1.0086
246	konrad t. (2020)	"<table><tr><td>Authors:</td><td>konrad t.; wiek a.; barth m.</td></tr><tr><td>Title:</td><td>embracing conflicts for interpersonal competence development in project-based sustainability courses</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 21(1), 76-96</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1108/ijshe-06-2019-0190	0.8608	-0.2449	1	7	15	3.7823	2020	15	3.7823
247	fokdal j. (2020)	"<table><tr><td>Authors:</td><td>fokdal j.; čolić r.; milovanović rodić d.</td></tr><tr><td>Title:</td><td>integrating sustainability in higher planning education through international cooperation: assessment of a pedagogical model and learning outcomes from the students’ perspective</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 21(1), 1-17</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1108/ijshe-01-2019-0045	0.9246	-0.2793	1	2	4	1.0086	2020	4	1.0086
254	mahfud t. (2020)	"<table><tr><td>Authors:</td><td>mahfud t.; nugraheni m.; pardjono, lastariwati b.</td></tr><tr><td>Title:</td><td>validation of the chefs’ key competencies questionnaire: a culinary student perspective</td></tr><tr><td>Source:</td><td>journal of technical education and training, 12(4), 27-38</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.30880/jtet.2020.12.04.003	0.6256	0.335	4	1	0	0	2020	0	0
259	palsa l. (2020)	"<table><tr><td>Authors:</td><td>palsa l.; mertala p.</td></tr><tr><td>Title:</td><td>disciplinary contextualisation of transversal competence in finnish local curricula: the case of multiliteracy, mathematics, and social studies</td></tr><tr><td>Source:</td><td>education inquiry</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/20004508.2020.1855827	-0.274	0.3782	3	1	4	1.0086	2020	4	1.0086
263	van griethuijsen r.a.l.f. (2020)	"<table><tr><td>Authors:</td><td>van griethuijsen r.a.l.f.; kunst e.m.; van woerkom m.; wesselink r.; poell r.f.</td></tr><tr><td>Title:</td><td>does implementation of competence-based education mediate the impact of team learning on student satisfaction?</td></tr><tr><td>Source:</td><td>journal of vocational education and training, 72(4), 516-535</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/13636820.2019.1644364	-1.0056	-0.0567	2	10	5	1.2608	2020	5	1.2608
277	virkkula e. (2020)	<table><tr><td>Authors:</td><td>virkkula e.</td></tr><tr><td>Title:</td><td>student teachers’ views of competence goals in vocational teacher education</td></tr><tr><td>Source:</td><td>european journal of teacher education</td></tr><tr><td>Year:</td><td>2020</td></tr></table>	https://doi.org/10.1080/02619768.2020.1806229	-1.0179	-0.09	2	10	0	0	2020	0	0
291	misbah z. (2020)	"<table><tr><td>Authors:</td><td>misbah z.; gulikers j.; dharma s.; mulder m.</td></tr><tr><td>Title:</td><td>evaluating competence-based vocational education in indonesia</td></tr><tr><td>Source:</td><td>journal of vocational education and training, 72(4), 488-515</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1080/13636820.2019.1635634	-1.111	-0.2031	2	5	5	1.2608	2020	5	1.2608
304	soini k. (2019)	"<table><tr><td>Authors:</td><td>soini k.; korhonen-kurki k.; asikainen h.</td></tr><tr><td>Title:</td><td>transactional learning and sustainability co-creation in a university – business collaboration</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 20(6), 965-984</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1108/ijshe-11-2018-0215	0.7783	-0.0853	1	3	13	2.0577	2019	13	2.0577
305	frank p. (2019)	"<table><tr><td>Authors:</td><td>frank p.; sundermann a.; fischer d.</td></tr><tr><td>Title:</td><td>how mindfulness training cultivates introspection and competence development for sustainable consumption</td></tr><tr><td>Source:</td><td>international journal of sustainability in higher education, 20(6), 1002-1021</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1108/ijshe-12-2018-0239	1.1047	-0.0893	1	3	10	1.5829	2019	10	1.5829
